fl_date,year,month,op_unique_carrier,op_carrier_fl_num,origin,dest,crs_dep_time,dep_time,dep_delay,taxi_out,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,diverted,crs_elapsed_time,actual_elapsed_time,air_time,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2024-01-01,2024,1,DL,100,ATL,JFK,800,815,15,12,8,1030,1045,15,0,0,150,150,130,760,5,0,10,0,0
2024-01-01,2024,1,AA,200,ORD,LAX,900,945,45,20,10,1200,1305,65,0,0,240,260,220,1745,20,15,20,0,10
2024-01-01,2024,1,UA,300,SFO,DEN,700,700,0,15,7,1030,1025,-5,0,0,150,145,123,967,0,0,0,0,0
2024-01-01,2024,1,B6,400,JFK,MCO,1100,,,,1400,,,1,0,180,,,944,,,,,,
2024-01-01,2024,1,WN,500,DFW,DEN,1300,1320,20,10,5,1430,1455,25,0,0,90,95,80,650,5,0,10,0,10
2024-01-02,2024,1,DL,101,ATL,ORD,800,900,60,18,12,930,1100,90,0,0,120,150,110,606,10,40,20,0,20
2024-01-02,2024,1,AA,201,DFW,LAX,1000,1005,5,14,9,1130,1125,-5,0,0,180,175,152,1235,0,0,0,0,0
2024-01-02,2024,1,UA,301,SEA,SFO,600,630,30,16,8,800,845,45,0,0,120,135,111,679,5,20,10,0,10
2024-01-02,2024,1,AS,50,SEA,LAX,900,905,5,12,6,1200,1155,-5,0,0,180,170,152,954,0,0,0,0,0
2024-01-02,2024,1,NK,77,ORD,MIA,1400,1530,90,25,15,1800,2000,120,0,0,180,210,160,1197,30,50,20,0,20
2024-01-03,2024,1,DL,102,JFK,ATL,700,710,10,11,7,930,925,-5,0,0,150,140,122,760,0,0,0,0,0
2024-01-03,2024,1,AA,202,LAX,ORD,800,800,0,13,9,1400,1355,-5,0,0,240,235,213,1745,0,0,0,0,0
2024-01-03,2024,1,UA,302,DEN,ATL,1100,1200,60,22,10,1600,1730,90,0,0,180,210,158,1199,15,30,25,0,20
2024-01-03,2024,1,WN,501,AUS,DEN,900,930,30,9,6,1100,1140,40,0,0,120,130,105,775,10,0,15,0,15
2024-01-03,2024,1,B6,401,BOS,JFK,1200,1205,5,10,8,1300,1300,0,0,0,60,55,37,187,0,0,0,0,0
2024-01-04,2024,1,DL,103,ATL,MIA,800,800,0,12,8,1000,955,-5,0,0,120,115,95,594,0,0,0,0,0
2024-01-04,2024,1,AA,203,PHX,DFW,700,740,40,18,11,1000,1050,50,0,0,120,130,101,868,15,10,15,0,10
2024-01-04,2024,1,UA,303,EWR,ORD,900,1000,60,20,12,1100,1230,90,0,0,150,180,138,719,20,25,25,0,20
2024-01-04,2024,1,WN,502,MDW,DEN,1300,1310,10,8,5,1430,1435,5,0,0,90,85,72,895,0,0,5,0,0
2024-01-04,2024,1,AS,51,PDX,SFO,800,805,5,14,7,1000,955,-5,0,0,120,110,89,550,0,0,0,0,0
